City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,afif,23.9065,42.9172,37.03,8,81,6.69,SA,1690269768
319,nantucket,41.2835,-70.0995,24.03,80,47,3.98,US,1690269695
320,guiping,23.3925,110.0814,35.07,50,42,2.56,CN,1690269769
321,ulladulla,-35.35,150.4667,12.84,74,0,2.21,AU,1690269770
322,nyala,12.05,24.8833,28.61,51,100,3.71,SD,1690269771
323,eilat,29.5581,34.9482,36.91,15,0,4.12,IL,1690269771
324,sindhnur,15.7833,76.7667,24.56,82,100,7.0,IN,1690269772
325,dalbandin,28.8947,64.4101,32.56,43,100,4.3,PK,1690269772
326,esens,53.6487,7.6127,17.87,91,75,1.54,DE,1690269773
327,urucui,-7.2294,-44.5561,21.95,48,0,2.94,BR,1690269774
328,ola,59.5833,151.2833,23.97,69,9,3.03,RU,1690269774
329,vyazemskiy,47.5378,134.7525,28.8,57,36,5.33,RU,1690269775
330,colonia,50.9333,6.95,16.6,80,0,2.57,DE,1690269491
331,kamloops,50.6665,-120.3192,16.55,70,100,4.12,CA,1690269776
332,garbahaarrey,3.3289,42.2209,29.08,42,1,10.51,SO,1690269776
333,necochea,-38.5473,-58.7368,2.63,90,32,4.38,AR,1690269777
334,sakon nakhon,17.3333,103.8333,31.95,54,99,0.3,TH,1690269778
335,arraial do cabo,-22.9661,-42.0278,20.64,91,3,8.54,BR,1690269778
336,burao,9.5221,45.5336,26.96,43,100,13.83,SO,1690269779
337,amga,60.8953,131.9608,29.48,41,100,2.07,RU,1690269779
338,porto novo,6.4965,2.6036,24.9,89,99,1.76,BJ,1690269780
339,liwa,24.5361,56.5656,35.01,71,100,4.63,OM,1690269780
340,sretensk,52.2453,117.7093,29.58,31,75,2.01,RU,1690269781
341,nizhnesortymskiy,62.4397,71.7603,20.04,69,100,3.14,RU,1690269781
342,alamos,27.0167,-108.9333,26.04,85,100,2.37,MX,1690269782
343,adre,13.4667,22.2,27.71,61,100,4.08,TD,1690269783
344,luanda,-8.8368,13.2343,20.0,94,100,2.06,AO,1690269648
345,pampas,-12.4,-74.9,6.88,75,3,1.85,PE,1690269784
346,akureyri,65.6835,-18.0878,6.96,93,100,3.6,IS,1690269784
347,alice springs,-23.7,133.8833,18.75,32,0,6.69,AU,1690269751
348,berezovyy,51.6667,135.7,18.5,96,100,1.0,RU,1690269786
